TimeStamp,x,y,Heading,Speed,Accel,DesiredSpd,Speed_Lead,Spacing,Dist2StopBar
3.436,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.454,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.467,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.483,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.499,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.516,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.531,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.547,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.563,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.579,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.596,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.611,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.629,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.643,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.659,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.675,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.693,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.707,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.724,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.739,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.757,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.771,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.787,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.803,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.820,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.835,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.851,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.867,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.885,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.899,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.915,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.933,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.947,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.963,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.979,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
3.998,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.012,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.028,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.044,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.061,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.076,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.092,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.108,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
4.126,39.682,-75.757,24.600,0.000,0.000,1.491,20.000,250.000,111.946
