index,x,y,z,latitude,longitude,altitude
51,54.214996337890625,33.276851654052734,236.62464904785156,42.300294483995344,-83.6986247170522,236.62464904785156
52,54.18617630004883,32.777740478515625,236.62242126464844,42.300298967608455,-83.69862506708785,236.62242126464844
53,54.15393829345703,32.278846740722656,236.61862182617188,42.30030344926794,-83.69862545863664,236.61862182617188
54,54.118751525878906,31.780141830444336,236.61398315429688,42.300307929230854,-83.69862588599982,236.61398315429688
55,54.08055114746094,31.281641006469727,236.60926818847656,42.30031240736008,-83.698626349965,236.60926818847656
56,54.039798736572266,30.783313751220703,236.60520935058594,42.30031688392978,-83.69862684492604,236.60520935058594
57,53.99668884277344,30.28514289855957,236.60255432128906,42.3003213590942,-83.69862736852006,236.60255432128906
58,53.95142364501953,29.787118911743164,236.60206604003906,42.30032583293897,-83.69862791829146,236.60206604003906
59,53.904197692871094,29.289228439331055,236.60472106933594,42.300330305584026,-83.69862849187733,236.60472106933594
60,53.855411529541016,28.791431427001953,236.6119842529297,42.300334777389196,-83.69862908441284,236.6119842529297
61,53.805870056152344,28.293638229370117,236.62184143066406,42.30033924915978,-83.69862968612202,236.62184143066406
62,53.7563591003418,27.79574203491211,236.63169860839844,42.300343721855256,-83.69863028746056,236.63169860839844
63,53.70769500732422,27.297636032104492,236.63931274414062,42.30034819643524,-83.69863087851346,236.63931274414062
64,53.65995407104492,26.79930305480957,236.64759826660156,42.300352673053794,-83.6986314583541,236.64759826660156
65,53.61002731323242,26.301170349121094,236.65830993652344,42.30035714787297,-83.69863206474278,236.65830993652344
66,53.555152893066406,25.803668975830078,236.66688537597656,42.300361617020485,-83.69863273122361,236.66688537597656
67,53.493980407714844,25.307050704956055,236.6734619140625,42.30036607823456,-83.698633474198,236.6734619140625
68,53.42831039428711,24.811100006103516,236.681396484375,42.3003705334514,-83.69863427179742,236.681396484375
69,53.36034393310547,24.315528869628906,236.6894989013672,42.30037498525829,-83.69863509728849,236.6894989013672
70,53.2900276184082,23.820354461669922,236.69656372070312,42.30037943350095,-83.69863595131986,236.69656372070312
71,53.21623992919922,23.325761795043945,236.70236206054688,42.30038387651743,-83.69863684751303,236.70236206054688
72,53.138343811035156,22.83184051513672,236.7086181640625,42.30038831350237,-83.69863779360539,236.7086181640625
73,53.057064056396484,22.33847999572754,236.71517944335938,42.300392745449585,-83.69863878079393,236.71517944335938
74,52.97332000732422,21.84554100036621,236.72177124023438,42.300397173609895,-83.69863979791272,236.72177124023438
75,52.88800048828125,21.35286521911621,236.72813415527344,42.300401599405376,-83.69864083416647,236.72813415527344
76,52.802005767822266,20.86029052734375,236.73399353027344,42.30040602429244,-83.69864187862093,236.73399353027344
77,52.716224670410156,20.367666244506836,236.73928833007812,42.30041044962471,-83.69864292048082,236.73928833007812
78,52.631351470947266,19.874868392944336,236.7450714111328,42.300414876515816,-83.69864395131378,236.7450714111328
79,52.547752380371094,19.381818771362305,236.75112915039062,42.30041930566833,-83.69864496667196,236.75112915039062
80,52.46577835083008,18.888456344604492,236.75694274902344,42.300423737630524,-83.69864596229287,236.75694274902344
81,52.38578414916992,18.394704818725586,236.76199340820312,42.30042817308771,-83.69864693386764,236.76199340820312
82,52.30812072753906,17.900510787963867,236.76792907714844,42.30043261251973,-83.69864787713377,236.76792907714844
